,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
14,SRR1661154,1996.0,Canada,America,0.25,0.5,0.125,0.125,-2.0,-1.0,-3.0,-3.0,0.0,0.0,0.0,0.0
15,SRR1661156,1997.0,Canada,America,0.25,16.0,0.125,0.063,-2.0,4.0,-3.0,-3.988504361,0.0,1.0,0.0,0.0
16,SRR1661157,1998.0,Canada,America,0.125,0.016,0.125,0.063,-3.0,-5.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0
17,SRR1661158,2000.0,Canada,America,0.25,0.5,0.125,0.25,-2.0,-1.0,-3.0,-2.0,0.0,0.0,0.0,0.0
18,SRR1661159,2001.0,Canada,America,0.063,0.063,0.00025,0.001,-3.988504361,-3.988504361,-11.96578428,-9.965784285,0.0,0.0,0.0,0.0
19,SRR1661160,2001.0,Canada,America,0.125,0.004,0.002,0.004,-3.0,-7.965784285,-8.965784285,-7.965784285,0.0,0.0,0.0,0.0
20,SRR1661161,2001.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
21,SRR1661162,2001.0,Canada,America,0.063,0.004,0.004,0.008,-3.988504361,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
22,SRR1661163,2001.0,Canada,America,0.5,0.032,0.125,0.032,-1.0,-4.965784285,-3.0,-4.965784285,0.0,0.0,0.0,0.0
23,SRR1661164,2001.0,Canada,America,0.5,64.0,0.125,0.25,-1.0,6.0,-3.0,-2.0,0.0,1.0,0.0,0.0
24,SRR1661165,2001.0,Canada,America,0.25,0.25,0.125,0.032,-2.0,-2.0,-3.0,-4.965784285,0.0,0.0,0.0,0.0
25,SRR1661166,2001.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
26,SRR1661167,2002.0,Canada,America,2.0,0.032,0.125,0.063,1.0,-4.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0
27,SRR1661169,2004.0,Canada,America,0.063,0.004,0.002,0.004,-3.988504361,-7.965784285,-8.965784285,-7.965784285,0.0,0.0,0.0,0.0
28,SRR1661171,2005.0,Canada,America,0.063,0.004,0.002,0.004,-3.988504361,-7.965784285,-8.965784285,-7.965784285,0.0,0.0,0.0,0.0
29,SRR1661172,2005.0,Canada,America,0.125,0.008,0.004,0.004,-3.0,-6.965784285,-7.965784285,-7.965784285,0.0,0.0,0.0,0.0
30,SRR1661174,2005.0,Canada,America,0.063,8.0,0.032,0.032,-3.988504361,3.0,-4.965784285,-4.965784285,0.0,1.0,0.0,0.0
31,SRR1661176,2005.0,Canada,America,0.5,16.0,0.032,0.063,-1.0,4.0,-4.965784285,-3.988504361,0.0,1.0,0.0,0.0
32,SRR1661177,2005.0,Canada,America,0.25,0.016,0.001,0.002,-2.0,-5.965784285,-9.965784285,-8.965784285,0.0,0.0,0.0,0.0
33,SRR1661178,2005.0,Canada,America,0.063,0.016,0.0005,0.001,-3.988504361,-5.965784285,-10.96578428,-9.965784285,0.0,0.0,0.0,0.0
34,SRR1661179,2006.0,Canada,America,0.25,1.0,0.125,0.063,-2.0,0.0,-3.0,-3.988504361,0.0,0.0,0.0,0.0
35,SRR1661180,2006.0,Canada,America,0.032,0.004,0.002,0.004,-4.965784285,-7.965784285,-8.965784285,-7.965784285,0.0,0.0,0.0,0.0
36,SRR1661181,2006.0,Canada,America,0.125,2.0,0.125,0.25,-3.0,1.0,-3.0,-2.0,0.0,1.0,0.0,0.0
37,SRR1661182,2006.0,Canada,America,0.125,2.0,0.125,0.25,-3.0,1.0,-3.0,-2.0,0.0,1.0,0.0,0.0
38,SRR1661184,2006.0,Canada,America,0.5,4.0,0.032,0.016,-1.0,2.0,-4.965784285,-5.965784285,0.0,1.0,0.0,0.0
39,SRR1661185,2006.0,Canada,America,0.25,16.0,0.125,0.25,-2.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
40,SRR1661186,2006.0,Canada,America,0.25,4.0,0.016,0.016,-2.0,2.0,-5.965784285,-5.965784285,0.0,1.0,0.0,0.0
41,SRR1661187,2006.0,Canada,America,0.25,8.0,0.063,0.063,-2.0,3.0,-3.988504361,-3.988504361,0.0,1.0,0.0,0.0
42,SRR1661188,2006.0,Canada,America,0.25,16.0,0.063,0.063,-2.0,4.0,-3.988504361,-3.988504361,0.0,1.0,0.0,0.0
43,SRR1661189,2006.0,Canada,America,0.25,4.0,0.008,0.016,-2.0,2.0,-6.965784285,-5.965784285,0.0,1.0,0.0,0.0
44,SRR1661191,2006.0,Canada,America,0.25,16.0,0.125,0.063,-2.0,4.0,-3.0,-3.988504361,0.0,1.0,0.0,0.0
45,SRR1661192,2006.0,Canada,America,0.25,32.0,0.125,0.063,-2.0,5.0,-3.0,-3.988504361,0.0,1.0,0.0,0.0
46,SRR1661193,2007.0,Canada,America,0.032,4.0,0.125,0.032,-4.965784285,2.0,-3.0,-4.965784285,0.0,1.0,0.0,0.0
47,SRR1661194,2007.0,Canada,America,0.25,0.016,0.125,0.125,-2.0,-5.965784285,-3.0,-3.0,0.0,0.0,0.0,0.0
48,SRR1661195,2007.0,Canada,America,0.25,64.0,0.125,0.5,-2.0,6.0,-3.0,-1.0,0.0,1.0,0.0,0.0
49,SRR1661196,2008.0,Canada,America,0.5,16.0,0.125,0.125,-1.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
50,SRR1661197,2007.0,Canada,America,0.5,16.0,0.125,0.125,-1.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
51,SRR1661198,2007.0,Canada,America,0.5,16.0,0.125,0.125,-1.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
52,SRR1661200,2008.0,Canada,America,0.5,16.0,0.032,0.032,-1.0,4.0,-4.965784285,-4.965784285,0.0,1.0,0.0,0.0
53,SRR1661201,2008.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
54,SRR1661202,2008.0,Canada,America,0.5,16.0,0.032,0.032,-1.0,4.0,-4.965784285,-4.965784285,0.0,1.0,0.0,0.0
55,SRR1661203,2008.0,Canada,America,0.5,16.0,0.063,0.125,-1.0,4.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
56,SRR1661204,2008.0,Canada,America,0.5,32.0,0.125,0.125,-1.0,5.0,-3.0,-3.0,0.0,1.0,0.0,0.0
57,SRR1661205,2008.0,Canada,America,0.5,16.0,0.125,0.125,-1.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
58,SRR1661206,2008.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
59,SRR1661208,2009.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
60,SRR1661209,2009.0,Canada,America,16.0,16.0,0.063,0.063,4.0,4.0,-3.988504361,-3.988504361,1.0,1.0,0.0,0.0
61,SRR1661210,2009.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
62,SRR1661212,2009.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
63,SRR1661213,2009.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
64,SRR1661214,2009.0,Canada,America,0.25,16.0,0.032,0.032,-2.0,4.0,-4.965784285,-4.965784285,0.0,1.0,0.0,0.0
65,SRR1661215,2009.0,Canada,America,0.25,8.0,0.063,0.125,-2.0,3.0,-3.988504361,-3.0,0.0,1.0,0.0,0.0
66,SRR1661217,2009.0,Canada,America,0.25,16.0,0.032,0.125,-2.0,4.0,-4.965784285,-3.0,0.0,1.0,0.0,0.0
67,SRR1661218,2010.0,Canada,America,0.25,0.125,0.008,0.032,-2.0,-3.0,-6.965784285,-4.965784285,0.0,0.0,0.0,0.0
68,SRR1661219,2010.0,Canada,America,0.032,0.002,0.008,0.008,-4.965784285,-8.965784285,-6.965784285,-6.965784285,0.0,0.0,0.0,0.0
69,SRR1661220,2010.0,Canada,America,0.5,16.0,0.125,0.25,-1.0,4.0,-3.0,-2.0,0.0,1.0,0.0,0.0
70,SRR1661221,2010.0,Canada,America,0.5,16.0,0.032,0.016,-1.0,4.0,-4.965784285,-5.965784285,0.0,1.0,0.0,0.0
71,SRR1661222,2010.0,Canada,America,0.5,8.0,0.063,0.032,-1.0,3.0,-3.988504361,-4.965784285,0.0,1.0,0.0,0.0
72,SRR1661224,2009.0,Canada,America,0.125,0.008,0.008,0.008,-3.0,-6.965784285,-6.965784285,-6.965784285,0.0,0.0,0.0,0.0
73,SRR1661225,2010.0,Canada,America,0.125,0.004,0.004,0.008,-3.0,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
74,SRR1661226,2010.0,Canada,America,0.25,8.0,0.032,0.016,-2.0,3.0,-4.965784285,-5.965784285,0.0,1.0,0.0,0.0
75,SRR1661228,2010.0,Canada,America,0.5,4.0,0.032,0.063,-1.0,2.0,-4.965784285,-3.988504361,0.0,1.0,0.0,0.0
76,SRR1661230,2010.0,Canada,America,0.25,16.0,0.125,0.125,-2.0,4.0,-3.0,-3.0,0.0,1.0,0.0,0.0
